Lab,Clade,SVL,AG,ArmL,FingerL,LegL,ToeL,TailLength,Lamel4thF,Lamel4thT,Pores,CPE,CPPatt,TM,BGCol,PVL,PVSpots,FPVis,PoreArr,BIO_1,BIO_2,BIO_3,BIO_4,BIO_5,BIO_6,BIO_7,BIO_8,BIO_9,BIO_10,BIO_11,BIO_12,BIO_13,BIO_14,BIO_15,BIO_16,BIO_17,BIO_18,BIO_19,RESAMPELEV,mNDVI,sdNDVI,TREE,mLAI,sdLAI,Aclay,Athick,AKs,A_AWHC
CM59,C_griseus,45.88,18.84,20.28,4.98,42.35,10.65,97,18,34,26.5,chest,block,chevron,grey-black,clear,bw,weak,knee,195,128,44,5499,349,61,288,134,192,265,122,327,54,16,37,125,54,65,115,462,2467.790527,424.261352,4.090909,2.693248,0.568337,5,0.4,9,153
CM60,C_griseus,60,23.58,24.85,5.14,57.13,13.15,153,20,30,24,arms,diamond,chevron,grey-black,clear,black,yes,knee,195,128,44,5499,349,61,288,134,192,265,122,327,54,16,37,125,54,65,115,462,2467.790527,424.261352,4.090909,2.693248,0.568337,5,0.4,9,153
CM61,C_griseus,47.45,16.26,20.95,4.64,47.34,11.42,115,19,31,23,chest,diamond,chevron,grey-black,clear,bw,weak,knee,195,128,44,5499,349,61,288,134,192,265,122,327,54,16,37,125,54,65,115,462,2467.790527,424.261352,4.090909,2.693248,0.568337,5,0.4,9,153
CM63,C_griseus,59.43,22.02,26.74,4.84,54.79,10.78,140,18,30,22.5,arms,diamond,chevron,grey-black,indistinct,bw,yes,knee,192,129,44,5526,350,63,287,133,220,263,121,365,62,13,49,161,46,57,149,431,3572.272705,655.237792,10.818181,4.535395,1.33636,20,0.2,8,200
CM78,C_griseus,47.16,17.74,21.05,4.32,44.22,11.44,103,19,33,23.5,chest,block,chevron,grey-black,clear,bw,weak,knee,181,122,49,4305,318,72,246,136,224,236,125,427,54,13,33,154,62,69,146,350,3057.434814,524.181884,5.363636,4.59634,0.847712,15,0.25,7,132
CM79,C_griseus,51.53,20.77,23.09,4.75,50.36,10.76,112,17,31,25.5,chest,diamond,chevron,grey-black,clear,bw,yes,knee,181,122,49,4305,318,72,246,136,224,236,125,427,54,13,33,154,62,69,146,350,3057.434814,524.181884,5.363636,4.59634,0.847712,15,0.25,7,132
CM74,C_dualis,55.77,22.67,21.96,5.5,54.44,12.98,125,16,30,22,chest,diamond,chevron,grey-black,clear,white,yes,knee,186,124,52,3713,304,67,237,148,232,232,136,347,53,13,36,131,56,56,114,74,4401.577148,622.236389,20.454545,6.021926,1.61396,30,0.1,7,128
CM75,C_dualis,50.6,19.07,22.37,4.6,51.48,12.55,125,17,28,20,chest,diamond,chevron,grey-black,clear,white,yes,knee,186,124,52,3713,304,67,237,148,232,232,136,347,53,13,36,131,56,56,114,74,4401.577148,622.236389,20.454545,6.021926,1.61396,30,0.1,7,128
CM89,C_dualis,49.19,21.51,21.4,4.44,51.11,12.22,118,17,27,21,chest,block,chevron,grey-black,clear,black,yes,knee,191,116,53,3570,287,70,217,175,225,231,141,270,43,8,36,97,42,42,93,26,3479.818115,623.085998,6.545454,2.785467,0.658971,30,0.1,7,128
CM91,C_dualis,40.45,17.42,17.83,4.3,41.96,10.62,90,17,28,20,chest,diamond,chevron,grey-black,clear,black,weak,knee,191,116,53,3570,287,70,217,175,225,231,141,270,43,8,36,97,42,42,93,26,3479.818115,623.085998,6.545454,2.785467,0.658971,30,0.1,7,128
CM66,C_dualis,60.9,24.78,24,5.32,56.51,13.61,139,17,31,22.5,chest,diamond,chevron,grey-black,indistinct,bw,yes,knee,182,109,50,3607,296,81,215,145,227,227,135,436,63,14,35,166,63,63,155,207,5356.881347,625.604614,37.727272,6.771954,1.626889,5,0.6,9,153
CM68,C_dualis,54.04,23.78,22.34,4.48,50.26,11.03,127,16,26,22.5,chest,diamond,chevron,grey-black,clear,bw,yes,knee,186,118,54,3409,297,79,218,150,227,227,140,452,70,13,41,181,58,58,166,8,5180.992187,744.932556,25.363636,6.835555,1.839945,5,0.4,9,145
